2665 2
11 -0.017518775473165077 -0.9641219767024382
14 -0.6109238244230013 0.7596740346319991
21 0.5012668949065044 -0.8237159711521952
22 0.8356018810680006 0.4903986443121343
31 -0.5667851769438631 -0.7809822693192997
39 -0.09675564915954674 0.9631353085727982
46 -0.7126139564822115 -0.6459769381155667
49 0.06179596425792075 0.967015437489521
50 -0.9461456890911587 -0.15098826768703164
52 -0.9594966352480384 0.10227487777608878
53 0.7123238025066284 0.6375858024171787
87 0.39476556136717383 -0.33729777910468534
94 -0.40186900807975084 -0.18494733960945853
96 -0.9052346624481717 -0.3361861660385982
97 -0.6848821900161349 -0.32221711777344275
104 -0.5709416146784273 0.7896907166874849
106 -0.6557994006297039 0.710676259472806
115 -0.836308887639129 -0.4747522768212493
126 -0.4918412773949248 0.8487462381819718
134 -0.6098644619748836 0.5901415217727884
139 -0.23226503730131076 0.9594907337369549
150 0.5531706234573578 -0.7963074459529934
160 0.8632725638623999 0.4347263553976613
191 0.9329650336297046 0.26036960117595853
205 -0.5592492502279366 -0.8088207407414326
208 -0.5980809384143209 -0.577882291027861
218 0.4536171684424577 -0.34677500993138344
221 0.8674372324372462 -0.4402884575983855
223 0.8236187719503202 -0.5241680588542296
228 0.6013368588677985 -0.7487067165063613
252 -0.7884015304571003 0.22491001007670516
256 -0.20087011036974317 0.9254617762767302
286 0.07892795597201993 -0.8764705552825842
295 0.10907988772476103 0.7966840163109572
306 -0.7307482148282706 -0.6375135022724009
321 0.23868767527095214 -0.6136073045396869
322 0.027894161304071616 -0.3423341158777394
339 -0.7512071584518724 -0.3717561884485669
354 -0.9508667542476295 0.16389402701701525
374 -0.19368276268226964 -0.9592150833789679
389 0.977616630698193 -0.004187920591015869
395 -0.06411412267964825 -0.028242012973514675
414 0.6303588945554651 0.749546853573062
416 0.023197190852791753 0.2785515043826858
417 0.5567380330288004 0.7935777624244876
1 -0.4471309688735924 0.8658725584928478
17 -0.4553793324031314 0.8724512319627878
40 0.20069262878657557 -0.9440021096004227
55 0.9545843127453257 -0.1773294344676455
59 0.612464253259878 0.7445976500820773
78 0.40661491432368313 0.7931386422712677
90 0.01175691002005291 -0.9749044642629041
113 -0.6267798545279382 0.7538823305398928
116 -0.8143923076661314 -0.5121694526823192
128 0.3243885450978006 0.6603571848782722
136 0.14519201391524109 0.9181952759125003
142 0.008208748541512495 0.6285277876321648
144 -0.2898517756102104 0.4729211710351391
147 0.3959288792538582 -0.8591477749558724
148 0.4365174940669719 -0.13057764272662323
149 0.6125218045095812 -0.5625684847891377
154 0.5839865609021998 -0.24037069096202662
188 0.47788055882945885 -0.6168233264449838
189 0.45731239625288317 -0.5850480550781316
198 -0.9047310861159628 0.36130347275401714
202 -0.6762678504250487 0.3841990695144485
212 -0.5983547033699828 -0.7708851240076477
222 0.8540033406471919 -0.49145168321715604
254 -0.044189641507999804 0.9671046018355102
258 -0.1277721072966106 0.0471678025059781
259 -0.10980057318466092 0.9745378838904761
265 0.1271178847238368 -0.9460589190349719
291 -0.3981686497824998 -0.9000862392131577
297 -0.5034868326239065 -0.20560463290336517
312 -0.685972012691152 -0.6834379510027379
318 -0.62601907666152 0.01801695501833793
338 -0.9659913793288687 -0.1482020499581618
342 -0.9506370957972529 -0.18403274809723894
349 -0.01200119066993736 -0.017250320358949214
359 0.49921623994290093 0.7966632947477431
363 0.7395384533198556 0.6410922258838093
372 -0.23879407021582497 -0.9504880033901544
384 0.9691688840961827 -0.15313923274835106
392 -0.28181478535743226 0.1623463312475025
405 0.563976605094316 0.11794258381792336
419 0.9747873128031168 -0.07164845924972561
7 0.9621355188685637 0.01881763639558498
9 0.26451987821162387 0.9192875822783144
12 -0.8915613473894877 -0.35426038808187
