u,v
0,1
0,3
0,5
0,7
0,9
0,10
0,12
0,13
0,14
0,15
0,16
0,19
0,20
0,21
0,24
0,26
0,27
1,2
1,3
1,4
1,5
1,7
1,9
1,10
1,11
1,12
1,13
1,14
1,15
1,16
1,19
1,20
1,21
1,23
1,24
1,26
1,27
2,3
2,6
2,9
2,12
2,13
2,15
2,16
2,19
3,7
3,20
4,7
4,8
4,9
4,10
4,11
4,12
4,13
4,14
4,15
4,16
4,19
4,20
4,21
4,23
4,24
4,26
4,27
5,7
5,10
5,12
5,13
5,14
5,15
5,16
5,19
5,20
5,21
5,24
5,26
5,27
6,8
6,16
6,17
6,22
7,9
7,10
7,11
7,13
7,14
7,15
7,16
7,19
7,21
7,23
7,24
7,26
7,27
8,9
8,12
8,16
8,17
8,18
8,21
8,23
8,25
9,10
9,11
9,12
9,13
9,14
9,16
9,19
9,21
9,23
9,24
9,26
9,27
10,11
10,13
10,15
10,16
10,19
10,20
10,23
10,24
10,26
10,27
11,12
11,16
11,21
11,23
11,25
11,26
11,27
12,13
12,15
12,16
12,18
12,21
12,24
12,26
13,14
13,19
13,21
13,23
13,24
13,26
13,27
14,15
14,16
14,19
14,20
14,21
14,23
14,26
14,27
15,17
15,21
15,23
15,24
15,27
16,17
16,20
16,22
16,23
16,24
16,25
17,18
17,19
17,25
17,26
17,27
18,22
18,23
18,25
19,20
19,21
19,23
19,24
19,27
20,21
20,26
20,27
21,23
21,24
21,26
21,27
22,25
23,26
24,26
24,27
25,26
