u,v
0,3
0,7
0,8
0,16
0,20
0,25
1,3
1,4
1,5
1,8
1,11
1,13
1,16
1,20
1,22
1,25
1,26
2,7
2,9
2,12
2,13
2,14
2,17
2,18
2,22
2,23
2,26
3,4
3,5
3,8
3,11
3,13
3,14
3,16
3,22
3,25
3,26
4,9
4,11
4,13
4,14
4,16
4,18
4,22
4,25
4,26
5,6
5,12
5,16
5,26
6,7
6,8
6,11
6,13
6,14
6,16
6,22
6,23
6,25
6,26
7,9
7,10
7,12
7,15
7,17
7,20
7,24
7,27
8,11
8,13
8,20
8,26
9,10
9,12
9,15
9,17
9,27
10,12
10,19
10,21
10,23
10,27
11,15
11,21
11,25
11,27
12,14
12,20
12,21
12,23
12,24
12,27
13,16
13,19
13,21
13,24
13,25
13,27
14,15
14,17
14,19
14,24
14,27
15,17
15,20
15,22
15,25
16,17
16,22
16,24
16,25
16,26
17,19
17,20
17,27
18,21
18,27
19,22
20,27
21,22
21,23
21,24
21,25
21,26
22,24
22,25
22,27
23,24
23,27
24,25
24,26
26,27
