u,v
0,3
0,5
0,7
0,9
0,10
0,12
0,14
0,16
0,19
0,21
0,23
0,24
0,27
1,3
1,4
1,5
1,9
1,10
1,12
1,14
1,16
1,19
1,21
1,23
1,24
2,3
2,7
2,9
2,11
2,13
2,15
2,16
2,17
2,19
2,20
2,22
2,26
3,4
3,6
3,8
3,11
3,13
3,15
3,18
3,19
3,20
3,21
3,22
3,27
4,7
4,9
4,11
4,12
4,13
4,14
4,15
4,16
4,17
4,19
4,20
4,22
4,23
4,25
4,26
4,27
5,7
5,9
5,11
5,12
5,13
5,14
5,15
5,16
5,17
5,19
5,22
5,23
5,24
5,26
5,27
6,10
6,11
6,13
6,15
6,16
6,17
6,22
7,9
7,10
7,12
7,16
7,19
7,21
7,23
7,24
8,13
8,15
8,16
8,17
8,18
8,19
8,25
8,26
8,27
9,11
9,12
9,13
9,18
9,20
9,26
10,12
10,16
10,18
10,19
10,23
10,24
10,27
11,15
11,16
11,20
11,27
12,14
12,16
12,18
12,19
12,20
12,21
12,23
12,24
12,26
13,15
13,17
13,19
13,20
13,21
13,22
13,24
13,26
13,27
14,16
14,19
14,20
14,21
14,23
15,16
15,17
15,18
15,22
15,25
15,26
15,27
16,17
16,19
16,22
16,23
16,24
16,25
16,26
17,18
17,19
17,22
17,25
17,26
17,27
18,22
18,25
18,27
19,21
19,23
19,25
19,27
20,26
21,23
21,24
21,26
22,25
22,26
22,27
24,27
25,26
25,27
