u,v
0,2
0,3
0,4
0,7
0,11
0,12
0,16
0,17
0,18
0,19
0,20
0,21
0,24
0,25
1,2
1,3
1,4
1,6
1,7
1,8
1,9
1,10
1,11
1,12
1,15
1,16
1,17
1,18
1,19
1,20
1,21
1,23
1,24
1,25
2,5
2,9
2,10
2,12
2,13
2,14
2,15
2,17
2,18
2,22
2,23
2,25
2,26
3,4
3,5
3,7
3,11
3,12
3,13
3,14
3,15
3,18
3,22
3,24
3,25
4,11
4,13
4,14
4,15
4,16
4,18
4,22
4,26
5,6
5,8
5,10
5,17
5,19
5,20
5,21
5,23
5,27
6,8
6,10
6,11
6,12
6,14
6,15
6,16
6,19
6,21
6,22
6,23
6,25
7,11
7,14
7,16
7,18
7,19
7,20
7,21
7,24
7,25
7,26
8,9
8,10
8,11
8,12
8,13
8,14
8,15
8,18
8,22
8,23
8,26
9,10
9,15
9,16
9,17
9,19
9,20
9,21
9,23
9,24
9,25
9,27
10,12
10,16
10,17
10,19
10,21
10,25
10,27
11,16
11,19
11,21
11,23
11,24
11,27
12,15
12,16
12,17
12,19
12,20
12,21
12,24
12,25
13,19
13,24
13,27
14,17
14,19
14,20
14,21
14,23
14,24
14,27
15,16
15,19
15,21
15,23
15,26
16,21
16,22
16,23
16,24
16,26
17,18
17,19
17,23
17,25
17,27
18,19
18,20
18,21
18,23
18,24
18,27
19,21
19,22
19,23
19,25
20,26
20,27
21,22
21,23
21,25
21,26
22,23
22,24
22,27
23,24
23,25
23,26
24,26
25,27
26,27
