u,v
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
0,11
0,12
0,14
0,15
0,16
0,18
0,19
0,20
0,22
0,24
0,26
1,2
1,3
1,4
1,5
1,6
1,7
1,9
1,10
1,11
1,12
1,14
1,16
1,18
1,19
1,20
1,21
1,22
1,24
1,25
1,26
1,27
2,3
2,5
2,6
2,8
2,9
2,10
2,11
2,12
2,13
2,15
2,16
2,17
2,18
2,19
2,21
2,23
2,24
2,26
2,27
3,5
3,6
3,9
3,14
3,16
3,18
3,19
3,20
3,21
3,23
3,24
3,25
3,27
4,5
4,7
4,9
4,10
4,11
4,13
4,14
4,15
4,18
4,19
4,20
4,22
4,23
4,24
4,25
4,26
5,7
5,9
5,10
5,11
5,12
5,14
5,15
5,16
5,17
5,18
5,19
5,20
5,22
5,23
5,24
5,25
5,26
5,27
6,10
6,11
6,13
6,15
6,16
6,18
6,19
6,21
6,22
6,23
6,24
6,25
6,27
7,10
7,14
7,16
7,17
7,20
7,24
7,26
8,10
8,11
8,13
8,15
8,18
8,19
8,20
8,21
8,25
8,26
8,27
9,11
9,13
9,14
9,15
9,16
9,18
9,19
9,22
9,23
9,24
9,25
9,26
9,27
10,14
10,16
10,18
10,19
10,20
10,25
10,27
11,12
11,14
11,16
11,19
11,20
11,23
11,26
11,27
12,13
12,15
12,16
12,18
12,19
12,20
12,22
12,24
12,25
12,26
12,27
13,16
13,19
13,25
14,15
14,22
14,23
14,24
15,16
15,19
15,20
15,22
15,25
15,27
16,18
16,19
16,21
16,22
16,23
16,24
16,25
16,26
16,27
17,18
17,19
17,20
17,22
17,26
18,19
18,21
18,23
18,24
18,25
18,27
19,21
19,23
19,24
19,26
19,27
20,22
20,26
21,23
21,24
21,25
21,26
21,27
22,23
22,26
23,24
23,25
23,26
23,27
24,25
24,27
25,27
26,27
