u,v
0,3
0,7
0,10
0,11
0,24
1,2
1,3
1,4
1,5
1,9
1,12
1,20
1,21
1,23
1,27
2,4
2,5
2,9
2,10
2,11
2,12
2,13
2,14
2,15
2,17
2,20
2,22
2,23
2,25
2,26
2,27
3,4
3,5
3,10
3,13
3,15
4,9
4,13
4,20
4,21
5,7
5,10
5,19
5,20
5,21
5,24
6,7
6,8
6,16
6,17
6,18
6,21
6,22
6,24
7,9
7,12
7,15
7,16
7,22
8,10
8,11
8,12
8,13
8,15
8,16
8,18
8,20
8,22
8,23
8,25
9,10
9,19
9,20
9,21
9,26
9,27
10,14
10,17
10,19
10,20
10,21
10,23
10,26
10,27
11,12
11,15
11,17
11,19
11,20
11,23
11,25
11,26
12,14
12,15
12,16
12,17
12,18
12,21
12,24
12,26
12,27
13,19
14,19
14,21
14,23
15,17
15,19
15,23
16,17
16,21
16,22
16,23
16,24
16,25
16,26
17,18
17,21
17,24
17,25
17,27
18,21
18,22
18,23
18,24
18,25
18,26
19,20
19,21
19,22
19,23
19,25
19,26
19,27
20,21
20,27
21,23
21,26
22,26
23,24
23,27
24,26
25,26
25,27
