u,v
0,3
0,5
0,6
0,7
0,9
0,10
0,11
0,12
0,15
0,20
0,22
0,23
0,24
0,26
1,2
1,3
1,4
1,6
1,7
1,8
1,12
1,13
1,14
1,15
1,16
1,17
1,19
1,20
1,21
1,23
1,24
1,25
1,26
1,27
2,3
2,6
2,9
2,10
2,12
2,13
2,17
2,18
2,19
2,20
2,21
2,22
2,23
2,24
2,25
2,26
2,27
3,8
3,14
3,15
3,19
3,20
3,24
3,25
4,6
4,7
4,9
4,10
4,11
4,12
4,15
4,20
4,22
4,24
4,26
5,6
5,7
5,10
5,11
5,12
5,15
5,20
5,22
5,24
5,26
6,7
6,8
6,9
6,12
6,13
6,14
6,17
6,18
6,19
6,20
6,21
6,23
6,27
7,9
7,10
7,11
7,15
7,16
7,22
7,23
7,24
7,26
8,9
8,10
8,11
8,12
8,15
8,16
8,20
8,21
8,22
8,23
8,24
8,25
8,26
9,11
9,12
9,15
9,16
9,17
9,18
9,19
9,21
9,23
9,24
9,26
10,13
10,14
10,16
10,17
10,18
10,19
10,23
10,25
10,26
10,27
11,12
11,13
11,14
11,15
11,16
11,18
11,19
11,20
11,23
11,27
12,14
12,16
12,17
12,18
12,19
12,20
12,21
12,24
12,25
12,26
12,27
13,15
13,17
13,24
13,25
13,26
14,15
14,20
14,22
14,23
14,26
15,18
15,19
15,23
15,27
16,17
16,18
16,19
16,20
16,21
16,23
16,24
16,26
16,27
17,19
17,21
17,24
17,25
17,27
18,20
18,21
18,22
18,23
18,24
18,26
19,21
19,22
19,23
19,24
19,25
20,23
20,24
20,26
21,23
21,24
21,25
21,26
21,27
22,27
23,24
23,26
24,25
24,26
24,27
25,27
26,27
