u,v
0,1
0,3
0,15
1,2
1,3
1,7
1,13
1,14
1,20
1,21
1,23
2,3
2,7
2,9
2,10
2,11
2,12
2,13
2,15
2,16
2,17
2,19
2,20
2,23
2,24
2,27
3,4
3,8
3,11
3,13
3,15
3,21
3,23
3,24
3,25
3,27
4,7
4,9
4,10
4,12
4,21
4,22
4,26
4,27
5,7
5,12
5,18
5,20
5,21
5,26
5,27
6,8
6,15
6,17
6,18
6,23
7,9
7,14
7,18
7,26
7,27
8,11
8,15
8,17
8,18
8,19
8,22
8,23
8,25
9,11
9,12
9,18
9,21
9,26
9,27
10,18
10,20
10,26
10,27
11,12
11,13
11,14
11,16
11,20
11,22
11,23
11,25
11,26
12,14
12,19
12,20
12,21
12,24
13,14
13,17
14,19
14,23
14,24
15,16
15,17
15,18
15,22
15,23
15,25
16,17
16,22
16,26
16,27
17,18
17,22
17,23
17,25
17,26
17,27
18,20
18,21
18,24
18,25
19,21
19,22
19,25
19,27
20,21
20,26
20,27
21,24
21,26
22,25
22,27
23,25
24,26
26,27
