u,v
0,3
0,5
0,7
0,9
0,10
0,11
0,15
0,20
0,26
1,3
1,4
1,5
1,7
1,9
1,10
1,11
1,13
1,15
1,20
1,22
1,24
2,6
2,10
2,12
2,13
2,15
2,17
2,21
2,22
2,24
2,25
2,26
3,4
3,5
3,7
3,9
3,10
3,11
3,14
3,15
3,20
3,22
3,24
4,7
4,9
4,10
4,11
4,12
4,13
4,15
4,20
4,22
4,26
5,7
5,10
5,11
5,12
5,15
5,20
5,22
5,26
6,8
6,10
6,16
6,17
6,18
6,19
6,21
6,24
6,27
7,9
7,13
7,15
7,18
7,22
7,26
8,10
8,11
8,12
8,13
8,15
8,16
8,18
8,21
8,22
8,23
8,24
8,25
8,26
9,10
9,11
9,15
9,24
9,26
10,14
10,16
10,17
10,19
10,20
10,23
10,25
10,27
11,14
11,19
11,20
11,23
11,27
12,14
12,16
12,17
12,18
12,19
12,20
12,21
12,24
12,25
12,27
13,19
14,15
14,23
14,26
15,19
15,20
15,27
16,17
16,18
16,19
16,21
16,22
16,23
16,24
17,18
17,21
17,24
17,25
17,27
18,19
18,21
18,22
18,24
18,25
19,21
19,22
19,23
19,24
19,25
20,22
20,26
21,24
21,25
21,27
22,27
23,24
23,25
24,25
24,27
25,27
26,27
