u,v
0,2
0,3
0,4
0,5
0,7
0,9
0,11
0,12
0,13
0,14
0,16
0,20
0,23
1,2
1,3
1,4
1,5
1,7
1,8
1,9
1,11
1,12
1,13
1,14
1,15
1,16
1,18
1,19
1,20
1,22
1,23
1,24
1,25
1,26
1,27
2,4
2,5
2,6
2,7
2,8
2,9
2,13
2,14
2,16
2,20
2,22
2,23
2,25
2,26
2,27
3,4
3,7
3,8
3,11
3,13
3,19
3,20
3,21
3,27
4,7
4,8
4,9
4,10
4,12
4,14
4,15
4,18
4,20
4,22
4,23
4,24
4,25
4,26
4,27
5,7
5,8
5,9
5,10
5,12
5,14
5,15
5,16
5,18
5,20
5,22
5,24
5,26
6,8
6,12
6,16
6,17
6,18
6,19
6,22
7,8
7,9
7,10
7,12
7,14
7,15
7,16
7,18
7,20
7,22
7,23
7,24
7,26
7,27
8,9
8,13
8,14
8,15
8,18
8,19
8,20
8,22
8,25
8,27
9,10
9,12
9,14
9,15
9,16
9,20
9,24
9,26
10,11
10,13
10,16
10,19
10,20
10,21
10,23
10,27
11,15
11,26
12,13
12,14
12,16
12,18
12,19
12,20
12,21
12,22
12,23
12,24
12,27
13,17
13,19
13,26
14,15
14,17
14,19
14,20
14,23
14,24
14,25
15,16
15,17
15,20
15,22
15,23
15,25
16,17
16,20
16,22
16,23
16,24
16,25
16,26
16,27
17,22
17,25
17,27
18,21
18,22
18,23
18,24
18,25
18,27
19,23
19,26
20,24
20,26
21,24
21,26
21,27
22,23
22,25
23,25
23,26
23,27
24,26
24,27
25,27
