u,v
0,7
0,9
0,10
0,11
0,15
0,16
0,23
0,24
0,26
1,3
1,5
1,7
1,9
1,11
1,12
1,13
1,15
1,20
1,21
1,23
1,24
1,26
1,27
2,4
2,5
2,6
2,13
2,15
2,16
2,18
2,22
2,26
2,27
3,10
3,13
3,14
3,15
3,19
4,7
4,9
4,11
4,12
4,15
4,17
4,20
4,22
4,24
4,26
5,7
5,9
5,11
5,15
5,18
5,21
5,23
5,24
5,26
6,8
6,14
6,16
6,17
6,18
6,19
6,21
6,24
7,8
7,14
7,17
7,18
7,20
7,21
7,24
7,26
7,27
8,11
8,13
8,15
8,16
8,17
8,18
8,22
8,27
9,11
9,13
9,15
9,20
9,27
10,12
10,13
10,16
10,23
10,24
10,26
10,27
11,12
11,17
11,19
11,20
11,23
12,13
12,15
12,16
12,21
12,24
12,26
12,27
13,17
13,19
14,16
14,19
14,23
15,17
15,19
15,20
15,23
16,17
16,19
16,22
16,23
16,24
16,25
16,26
17,18
17,22
17,25
17,27
18,19
18,21
18,23
18,24
18,25
18,26
19,21
19,22
19,24
20,21
20,24
20,26
20,27
21,23
21,24
21,26
22,25
23,26
23,27
24,25
24,26
