u,v
0,2
0,5
0,7
0,9
0,10
0,11
0,12
0,13
0,15
0,20
0,26
0,27
1,2
1,3
1,4
1,5
1,7
1,9
1,10
1,11
1,12
1,15
1,20
1,23
1,24
1,26
1,27
2,4
2,5
2,7
2,9
2,10
2,12
2,13
2,14
2,15
2,17
2,19
2,20
2,23
2,24
2,27
3,8
3,14
3,16
3,17
3,19
3,21
3,22
3,25
3,27
4,7
4,9
4,10
4,11
4,12
4,13
4,15
4,20
4,21
4,23
4,26
4,27
5,7
5,11
5,12
5,14
5,15
5,20
5,21
5,26
5,27
6,7
6,8
6,16
6,17
6,18
6,19
6,22
6,23
7,9
7,10
7,11
7,14
7,15
7,24
7,26
8,13
8,17
8,18
8,19
8,21
8,27
9,10
9,11
9,15
9,21
9,23
9,24
9,26
9,27
10,12
10,14
10,16
10,19
10,20
10,23
10,27
11,12
11,14
11,15
11,18
11,20
11,23
11,27
12,14
12,20
12,24
12,26
13,14
13,19
14,15
14,23
14,24
14,26
15,19
15,20
15,27
16,24
16,25
17,19
17,21
17,25
17,26
17,27
18,23
18,24
18,25
19,21
19,22
19,25
20,23
20,24
20,26
21,22
21,24
21,25
21,27
22,25
23,24
23,26
24,27
