u,v
0,1
0,3
0,5
0,6
0,7
0,9
0,12
0,14
0,15
0,16
1,3
1,4
1,5
1,6
1,7
1,9
1,10
1,12
1,14
1,16
1,18
1,19
1,20
1,21
1,23
1,24
1,25
1,26
2,4
2,5
2,9
2,11
2,13
2,14
2,17
2,19
2,20
2,22
2,23
2,27
3,11
3,13
3,14
3,17
3,18
3,19
3,20
3,21
3,22
3,23
3,24
3,26
4,6
4,7
4,9
4,10
4,12
4,14
4,15
4,16
4,19
4,20
4,21
4,24
4,26
4,27
5,7
5,10
5,12
5,15
5,16
5,17
5,18
5,20
5,24
5,26
5,27
6,7
6,8
6,16
6,18
6,19
6,22
6,24
7,8
7,9
7,14
7,17
7,18
7,19
7,20
7,25
7,26
8,12
8,13
8,16
8,18
8,22
8,23
8,24
8,27
9,10
9,11
9,15
9,16
9,20
9,21
9,23
9,24
9,27
10,11
10,12
10,13
10,15
10,16
10,19
10,20
10,22
10,23
10,26
10,27
11,12
11,14
11,15
11,17
12,13
12,14
12,16
12,18
12,19
12,20
12,21
12,22
12,24
12,26
13,17
13,19
14,16
14,20
14,23
15,17
15,20
15,22
15,27
16,17
16,19
16,20
16,23
16,24
16,25
16,26
17,18
17,25
17,27
18,21
18,23
18,24
18,25
18,26
19,21
19,23
19,24
19,25
19,26
19,27
20,21
20,24
20,27
21,23
21,24
21,25
22,26
24,25
24,26
25,26
