u,v
0,3
0,5
0,7
0,9
0,10
0,11
0,12
0,14
0,15
0,16
0,20
0,21
0,24
0,26
1,2
1,3
1,4
1,5
1,7
1,9
1,10
1,11
1,12
1,14
1,16
1,19
1,20
1,21
1,23
1,24
1,26
2,3
2,4
2,5
2,7
2,9
2,10
2,11
2,12
2,13
2,14
2,15
2,17
2,19
2,20
2,22
2,25
2,26
2,27
3,11
3,13
3,20
3,25
4,7
4,9
4,10
4,11
4,12
4,13
4,14
4,15
4,16
4,20
4,22
4,24
4,26
5,7
5,8
5,10
5,11
5,12
5,14
5,15
5,16
5,17
5,19
5,20
5,21
5,24
5,26
6,8
6,11
6,16
6,17
6,18
6,19
6,22
6,23
6,24
7,8
7,9
7,10
7,11
7,14
7,16
7,17
7,18
7,21
7,23
7,24
7,26
8,11
8,13
8,15
8,16
8,18
8,20
8,22
8,25
9,11
9,12
9,15
9,16
9,20
9,24
9,26
10,12
10,13
10,16
10,18
10,19
10,21
10,23
10,24
10,26
10,27
11,12
11,15
11,16
11,19
11,20
11,21
11,23
11,26
11,27
12,14
12,16
12,18
12,19
12,20
12,21
12,24
12,26
13,19
13,26
14,16
14,19
14,21
14,23
14,27
15,17
15,19
15,20
15,22
15,25
16,17
16,19
16,20
16,23
16,24
16,25
16,26
17,18
17,25
17,27
18,21
18,22
18,23
18,24
18,25
19,21
19,22
19,23
19,24
19,25
19,26
20,24
20,26
20,27
21,23
21,24
21,26
21,27
22,25
22,26
23,24
23,26
24,26
24,27
