u,v
0,5
0,7
0,9
0,10
0,12
0,13
0,14
0,16
0,19
0,20
0,21
0,23
0,24
0,26
0,27
1,2
1,3
1,4
1,5
1,9
1,10
1,12
1,14
1,16
1,19
1,20
1,21
1,23
1,24
1,26
1,27
2,4
2,5
2,6
2,7
2,9
2,11
2,13
2,16
2,19
2,21
2,22
2,25
2,26
2,27
3,11
3,13
3,14
3,15
3,18
3,22
3,25
4,8
4,9
4,10
4,12
4,16
4,19
4,20
4,21
4,23
4,24
4,26
4,27
5,8
5,12
5,14
5,16
5,19
5,20
5,21
5,23
5,24
5,26
6,8
6,11
6,12
6,13
6,15
6,16
6,17
6,18
6,22
6,25
7,9
7,10
7,16
7,19
7,20
7,21
7,23
7,24
7,26
8,9
8,11
8,13
8,15
8,16
8,18
8,22
8,25
9,11
9,12
9,16
9,17
9,18
9,19
9,20
9,21
9,23
9,24
9,26
9,27
10,11
10,12
10,13
10,16
10,19
10,23
10,24
10,26
11,12
11,14
11,15
11,16
11,20
11,24
11,25
11,27
12,13
12,14
12,16
12,19
12,21
12,24
12,26
13,14
13,19
13,24
14,16
14,19
14,20
14,21
14,23
14,26
15,16
15,18
15,19
15,20
15,22
15,25
16,17
16,23
16,24
16,25
16,26
17,18
17,19
17,25
17,26
17,27
18,22
18,25
19,21
19,22
19,23
19,25
19,26
19,27
20,22
20,26
20,27
21,23
21,24
21,26
21,27
23,26
23,27
24,26
