u,v
0,3
0,5
0,7
0,9
0,10
0,12
0,14
0,16
0,20
0,21
1,2
1,3
1,4
1,5
1,7
1,9
1,11
1,12
1,13
1,16
1,18
1,19
1,21
1,23
1,24
1,26
2,3
2,5
2,10
2,13
2,14
2,15
2,21
2,23
2,26
3,4
3,11
3,20
3,21
3,23
3,24
4,7
4,8
4,9
4,11
4,12
4,13
4,15
4,16
4,20
4,22
4,23
4,24
4,26
5,7
5,10
5,12
5,14
5,15
5,16
5,19
5,21
5,23
5,24
5,26
6,8
6,11
6,12
6,16
6,22
7,13
7,14
7,18
7,19
7,24
7,26
8,9
8,11
8,12
8,13
8,16
8,17
8,18
8,22
8,26
9,11
9,15
9,16
9,17
9,18
9,20
9,22
9,23
9,26
9,27
10,15
10,16
10,19
10,21
10,24
10,27
11,12
11,15
11,16
11,18
11,21
11,22
11,23
11,25
11,27
12,16
12,17
12,18
12,19
12,20
12,21
12,24
12,25
12,26
13,19
13,20
13,26
13,27
14,15
14,21
15,17
15,20
15,24
15,26
16,17
16,20
16,21
16,22
16,23
16,25
16,26
16,27
17,18
17,25
17,26
17,27
18,21
18,22
18,23
18,25
18,26
18,27
19,21
19,23
20,24
20,26
21,23
21,24
21,26
21,27
22,25
22,26
22,27
23,25
23,26
25,26
25,27
