u,v
0,1
0,5
0,7
0,8
0,9
0,15
0,17
0,19
0,20
0,26
1,2
1,3
1,7
1,10
1,11
1,12
1,13
1,14
1,16
1,18
1,19
1,21
1,23
1,24
1,26
1,27
2,3
2,4
2,5
2,9
2,10
2,11
2,12
2,13
2,14
2,15
2,16
2,17
2,19
2,20
2,23
2,25
2,26
2,27
3,4
3,5
3,7
3,8
3,9
3,11
3,14
3,15
3,16
3,17
3,19
3,20
3,22
3,27
4,5
4,7
4,8
4,9
4,12
4,15
4,19
4,27
5,7
5,8
5,9
5,12
5,17
5,19
5,20
5,26
6,16
6,21
6,24
7,8
7,11
7,12
7,16
7,18
7,20
7,21
7,24
7,26
8,9
8,11
8,13
8,15
8,17
8,18
8,19
8,22
8,27
9,20
9,26
10,11
10,12
10,13
10,15
10,16
10,18
10,19
10,24
10,25
10,27
11,13
11,15
11,16
11,17
11,19
11,20
11,23
11,25
11,26
11,27
12,13
12,14
12,15
12,16
12,18
12,21
12,23
12,24
12,27
13,14
13,17
13,19
13,20
13,23
13,26
14,16
14,19
14,21
14,23
14,26
14,27
15,16
15,17
15,19
15,20
15,22
15,23
15,25
16,19
16,22
16,23
16,24
16,26
16,27
17,18
17,19
17,21
17,25
17,27
18,21
18,23
18,25
19,20
19,21
19,22
19,23
19,24
19,27
20,21
20,22
20,24
20,26
20,27
21,23
21,24
21,26
22,23
22,26
23,25
23,27
24,25
24,27
25,26
