u,v
0,2
0,5
0,6
0,7
0,8
0,9
0,12
0,13
0,14
0,15
0,19
0,20
0,22
0,25
0,26
0,27
1,2
1,3
1,4
1,5
1,6
1,7
1,8
1,9
1,11
1,12
1,13
1,14
1,15
1,18
1,19
1,20
1,22
1,24
1,25
1,26
2,4
2,5
2,7
2,9
2,11
2,12
2,13
2,14
2,15
2,16
2,17
2,19
2,20
2,21
2,23
2,24
2,27
3,19
4,6
4,7
4,8
4,9
4,11
4,12
4,13
4,14
4,15
4,16
4,18
4,20
4,22
4,23
4,24
4,25
4,26
4,27
5,6
5,7
5,8
5,9
5,11
5,12
5,13
5,14
5,15
5,16
5,18
5,20
5,21
5,22
5,23
5,24
5,26
5,27
6,8
6,11
6,16
6,18
6,19
6,22
6,24
6,26
7,8
7,9
7,11
7,12
7,13
7,14
7,15
7,20
7,22
7,24
7,26
7,27
8,11
8,13
8,15
8,16
8,18
8,19
8,23
8,26
9,11
9,12
9,13
9,15
9,16
9,18
9,23
9,24
9,27
10,12
10,16
10,20
10,21
10,23
10,24
10,27
11,13
11,15
11,16
11,20
11,23
11,25
11,26
11,27
12,14
12,15
12,16
12,18
12,20
12,21
12,23
12,24
12,26
12,27
13,17
13,18
13,19
13,20
13,23
13,24
13,25
13,26
13,27
14,15
14,16
14,21
14,23
14,24
14,27
15,16
15,17
15,19
15,20
15,21
15,22
15,23
16,17
16,18
16,19
16,22
16,23
16,24
16,25
16,26
16,27
17,27
18,21
18,22
18,23
18,25
18,26
19,25
20,22
20,23
20,26
20,27
21,24
21,27
22,25
23,24
23,26
23,27
24,27
25,26
