u,v
0,2
0,4
0,5
0,9
0,12
0,20
0,24
1,2
1,3
1,4
1,5
1,9
1,12
1,20
1,21
1,23
1,24
1,26
2,3
2,9
2,13
2,15
2,22
3,25
4,5
4,9
4,12
4,16
4,21
4,24
5,9
5,12
5,21
5,24
6,8
6,12
6,19
7,9
7,20
7,24
8,11
8,13
8,15
8,18
8,24
8,27
9,11
9,15
9,17
9,18
9,20
9,21
9,22
9,24
9,26
9,27
10,12
10,13
10,15
10,16
10,21
10,24
10,26
10,27
11,12
11,16
11,20
11,26
11,27
12,13
12,14
12,16
12,21
12,22
12,23
12,24
13,17
13,19
13,20
13,24
14,20
14,23
14,24
14,25
15,16
15,17
15,19
15,20
15,22
15,27
16,17
16,18
16,20
16,22
16,23
16,26
16,27
17,26
17,27
18,21
18,22
18,23
18,25
19,26
20,21
20,23
20,24
20,26
20,27
21,23
21,24
21,26
21,27
22,25
22,26
23,26
24,27
