u,v
0,3
0,5
0,7
0,9
0,10
0,11
0,12
0,14
0,15
0,16
0,17
0,18
0,20
0,24
0,26
1,3
1,4
1,5
1,7
1,8
1,9
1,10
1,11
1,14
1,15
1,16
1,18
1,20
1,24
2,3
2,6
2,10
2,11
2,12
2,17
2,19
2,22
2,25
2,26
3,4
3,7
3,8
3,10
3,11
3,12
3,15
3,16
3,17
3,18
3,20
3,24
4,5
4,7
4,9
4,10
4,12
4,15
4,16
4,17
4,18
4,20
4,22
4,24
4,26
5,7
5,9
5,10
5,12
5,15
5,16
5,17
5,18
5,20
5,22
5,24
5,26
6,8
6,13
6,16
6,18
6,19
6,21
6,23
6,24
6,27
7,9
7,10
7,12
7,15
7,16
7,17
7,18
7,20
7,22
7,24
7,26
8,10
8,11
8,12
8,17
8,26
8,27
9,10
9,12
9,15
9,16
9,17
9,18
9,20
9,24
9,26
10,13
10,19
10,20
10,21
10,23
10,24
10,25
10,27
11,13
11,14
11,20
11,22
11,25
12,13
12,19
12,20
12,21
12,23
12,25
12,27
13,17
13,25
13,26
14,15
14,16
14,17
14,18
14,23
14,26
15,16
15,19
15,20
15,21
15,22
15,23
15,27
16,17
16,20
16,23
16,24
17,19
17,20
17,21
17,27
18,20
18,21
18,23
18,24
19,25
19,26
20,22
20,24
20,26
21,26
22,26
25,27
