u,v
0,2
0,3
0,5
0,7
0,9
0,11
0,12
0,13
0,20
1,3
1,4
1,5
1,7
1,9
1,12
1,20
1,24
2,6
2,7
2,9
2,10
2,11
2,12
2,13
2,14
2,15
2,16
2,19
2,22
2,26
2,27
3,5
3,7
3,9
3,13
3,14
3,20
3,27
4,7
4,9
4,12
4,20
4,26
5,7
5,12
5,14
5,20
6,8
6,11
6,12
6,16
6,17
6,18
6,23
6,24
6,25
7,8
7,9
7,17
7,18
7,21
7,23
7,26
8,12
8,13
8,15
8,16
8,18
8,19
8,22
8,25
8,27
9,12
9,13
9,17
9,21
9,26
9,27
10,12
10,13
10,15
10,17
10,18
10,19
10,20
10,21
10,23
10,26
10,27
11,12
11,13
11,14
11,15
11,16
11,22
11,23
11,25
11,26
12,17
12,18
12,20
12,21
12,24
12,26
13,17
13,19
13,26
14,15
14,17
14,18
14,21
14,23
14,24
14,25
15,16
15,17
15,19
15,22
15,25
15,26
16,17
16,23
16,24
16,25
16,26
16,27
17,18
17,25
17,27
18,22
18,23
18,25
19,22
19,26
20,21
20,23
20,24
20,26
21,24
22,24
22,25
22,26
22,27
23,24
25,26
25,27
