u,v
0,3
0,5
0,6
0,9
0,10
0,11
0,15
0,16
0,20
0,22
0,26
1,2
1,3
1,6
1,7
1,8
1,12
1,13
1,14
1,15
1,18
1,19
1,21
1,23
1,24
1,25
1,27
2,3
2,6
2,7
2,10
2,12
2,13
2,15
2,16
2,17
2,20
2,22
2,23
2,24
2,25
2,26
3,4
3,5
3,6
3,7
3,9
3,10
3,11
3,12
3,15
3,16
3,17
3,20
3,22
3,23
3,24
3,26
4,9
4,10
4,11
4,15
4,16
4,20
4,22
4,26
5,6
5,10
5,11
5,15
5,16
5,20
5,22
5,23
5,26
6,8
6,12
6,13
6,14
6,16
6,17
6,18
6,19
6,21
6,23
6,27
7,8
7,10
7,12
7,13
7,14
7,15
7,19
7,21
7,23
7,24
7,27
8,10
8,11
8,12
8,15
8,16
8,17
8,18
8,20
8,22
8,23
8,24
8,25
8,26
9,10
9,11
9,15
9,16
9,22
9,26
10,12
10,13
10,14
10,18
10,19
10,25
10,27
11,12
11,13
11,14
11,19
11,21
11,27
12,14
12,15
12,16
12,18
12,19
12,20
12,24
12,26
13,15
13,16
13,17
13,20
13,23
13,24
13,25
13,26
14,15
14,16
14,20
14,22
14,23
14,24
14,26
15,18
15,19
15,21
15,22
15,23
15,25
15,26
15,27
16,17
16,19
16,21
16,25
16,27
17,18
17,19
17,23
17,25
17,27
18,19
18,20
18,22
18,23
18,24
18,25
19,20
19,22
19,23
19,24
19,25
20,21
20,23
20,24
20,25
20,27
21,22
21,23
21,24
21,26
22,27
23,25
23,27
24,25
24,27
25,27
26,27
