u,v
0,5
0,7
0,9
0,11
0,15
0,16
0,17
0,19
0,20
0,23
0,26
1,3
1,4
1,5
1,6
1,7
1,9
1,11
1,12
1,14
1,15
1,16
1,18
1,19
1,24
1,27
2,3
2,9
2,15
2,17
2,24
3,11
3,14
3,19
3,23
3,24
3,25
4,5
4,7
4,9
4,11
4,15
4,16
4,17
4,19
4,20
4,23
4,26
5,7
5,9
5,11
5,15
5,16
5,17
5,19
5,20
5,23
5,26
6,8
6,16
6,18
6,21
6,23
7,9
7,10
7,12
7,15
7,16
7,18
7,21
7,26
7,27
8,10
8,11
8,13
8,15
8,27
9,11
9,15
9,16
9,20
9,26
10,14
10,27
11,12
11,20
11,21
11,22
11,23
11,26
11,27
12,14
12,16
12,19
12,20
12,24
12,25
12,26
13,14
14,21
14,22
14,23
14,27
15,16
15,19
15,20
15,22
15,27
16,17
16,20
16,23
16,26
16,27
17,18
17,20
17,21
17,27
18,19
18,21
18,23
18,25
18,26
18,27
19,21
19,23
19,24
19,26
20,23
20,26
21,26
22,25
22,26
23,24
23,27
24,25
25,27
