u,v
0,3
0,4
0,5
0,7
0,10
0,12
0,13
0,20
1,2
1,3
1,4
1,5
1,7
1,9
1,10
1,11
1,12
1,14
1,19
1,20
2,4
2,5
2,6
2,7
2,9
2,11
2,13
2,14
2,16
2,18
2,19
2,20
2,21
2,22
2,24
2,25
2,26
2,27
3,4
3,11
3,13
3,19
3,20
3,21
3,24
3,25
4,6
4,7
4,8
4,9
4,10
4,12
4,14
4,16
4,17
4,18
4,19
4,20
4,25
4,26
5,6
5,7
5,8
5,9
5,10
5,12
5,14
5,15
5,16
5,17
5,18
5,19
5,20
5,25
5,26
6,7
6,8
6,11
6,12
6,15
6,16
6,17
6,18
6,19
6,21
6,24
6,25
6,26
7,8
7,9
7,10
7,11
7,12
7,14
7,16
7,17
7,18
7,20
7,23
7,26
8,9
8,13
8,14
8,15
8,16
8,18
8,20
8,21
8,22
8,24
8,25
9,11
9,12
9,15
9,16
9,18
9,19
9,20
9,26
9,27
10,13
10,14
10,20
10,21
10,22
10,24
11,14
11,15
11,16
11,19
11,20
11,21
11,23
11,25
11,26
12,13
12,14
12,16
12,18
12,19
12,20
12,21
12,22
12,23
12,24
12,25
14,17
14,18
14,19
14,23
14,25
15,16
15,18
15,19
15,20
15,21
15,22
15,25
15,26
15,27
16,17
16,18
16,19
16,20
16,22
16,23
16,24
16,25
16,26
17,18
17,20
17,21
17,24
17,25
17,27
18,19
18,21
18,22
18,24
18,25
18,26
19,20
19,21
19,22
19,24
19,25
19,26
19,27
20,26
21,23
21,26
22,26
23,27
24,25
24,26
25,26
