u,v
0,2
0,3
0,7
0,10
1,2
1,3
1,4
1,7
1,11
1,12
1,14
1,16
1,19
1,20
2,3
2,5
2,9
2,13
2,15
2,19
2,26
3,7
3,8
3,9
3,10
3,11
3,14
3,16
3,19
3,20
3,21
3,27
4,9
4,10
4,11
4,15
4,17
4,18
4,22
4,23
4,24
4,26
5,7
5,9
5,10
5,11
5,12
5,13
5,15
5,16
5,17
5,19
5,21
5,23
5,26
5,27
6,8
6,12
6,16
6,17
6,18
6,22
6,23
6,24
6,25
7,8
7,14
7,15
7,16
7,17
7,20
7,21
7,23
7,24
7,26
7,27
8,9
8,10
8,12
8,15
8,16
8,17
8,18
8,22
8,23
8,24
8,25
8,26
8,27
9,12
9,14
9,15
9,17
9,20
9,21
9,26
9,27
10,15
10,16
10,17
10,18
10,19
10,26
10,27
11,12
11,14
11,15
11,20
11,21
11,26
12,14
12,15
12,16
12,17
12,18
12,20
12,21
12,22
12,24
12,25
12,26
12,27
13,14
13,19
13,26
14,20
14,23
14,24
15,17
15,19
15,20
15,21
15,22
15,23
15,26
15,27
16,17
16,20
16,22
16,23
16,24
16,25
16,26
16,27
17,18
17,19
17,22
17,23
17,24
17,25
17,26
17,27
18,22
18,23
18,25
18,26
18,27
19,20
19,21
19,24
19,26
20,21
21,23
21,24
21,26
22,23
22,25
22,26
22,27
23,24
23,25
23,26
23,27
24,25
24,26
24,27
25,26
25,27
26,27
