u,v
0,1
0,5
0,6
0,7
0,9
0,10
0,12
0,13
0,14
0,15
0,16
0,18
0,19
0,21
0,22
0,24
0,25
0,26
1,3
1,4
1,5
1,6
1,7
1,8
1,9
1,10
1,12
1,14
1,15
1,16
1,19
1,20
1,21
1,22
1,24
1,25
1,26
1,27
2,3
2,9
2,10
2,13
2,14
2,15
2,17
2,18
2,22
2,24
2,25
2,26
3,14
3,20
3,23
3,24
3,27
4,6
4,7
4,9
4,10
4,12
4,13
4,14
4,15
4,16
4,19
4,22
4,24
4,25
4,26
5,6
5,7
5,8
5,10
5,12
5,14
5,15
5,16
5,19
5,21
5,22
5,24
5,25
5,26
6,7
6,8
6,10
6,11
6,14
6,18
6,21
6,22
6,23
6,24
6,26
7,10
7,13
7,14
7,15
7,16
7,18
7,19
7,20
7,21
7,22
7,24
7,25
7,26
8,9
8,10
8,13
8,14
8,15
8,16
8,18
8,19
8,21
8,22
8,24
8,26
8,27
9,10
9,11
9,15
9,17
9,19
9,21
9,27
10,14
10,15
10,16
10,17
10,19
10,23
10,24
10,26
10,27
11,12
11,16
11,20
11,23
11,27
12,18
12,20
12,24
13,19
13,20
14,15
14,16
14,19
14,21
14,22
14,23
14,27
15,17
15,18
15,21
15,24
15,25
15,26
16,21
16,23
16,24
16,25
16,26
17,19
17,25
17,27
18,19
18,21
18,22
18,23
18,24
18,25
18,27
19,21
19,24
19,25
19,26
20,24
20,26
21,22
21,24
21,25
21,26
22,25
22,27
23,24
23,25
23,26
24,26
24,27
25,27
26,27
