u,v
0,4
0,5
0,6
0,9
0,10
0,11
0,12
0,14
0,16
0,18
0,19
0,20
0,21
0,23
0,24
0,26
1,2
1,3
1,4
1,5
1,6
1,7
1,9
1,10
1,11
1,12
1,16
1,17
1,18
1,19
1,20
1,23
1,25
1,26
2,4
2,5
2,7
2,9
2,11
2,12
2,13
2,14
2,18
2,19
2,20
2,21
2,22
2,26
2,27
3,8
3,14
3,15
3,20
3,21
3,22
3,24
3,27
4,6
4,7
4,9
4,10
4,11
4,12
4,16
4,17
4,19
4,20
4,26
5,6
5,7
5,9
5,10
5,11
5,12
5,16
5,17
5,19
5,20
5,26
6,7
6,8
6,11
6,12
6,13
6,16
6,17
6,19
6,21
6,25
7,10
7,11
7,12
7,16
7,17
7,18
7,19
7,23
7,26
8,10
8,15
8,16
8,18
8,24
8,25
8,27
9,11
9,12
9,15
9,16
9,17
9,18
9,19
9,20
9,23
9,26
10,12
10,18
10,20
10,21
10,22
10,27
11,12
11,14
11,16
11,18
11,19
11,20
11,21
11,22
11,26
11,27
12,14
12,16
12,17
12,18
12,19
12,20
12,21
12,23
12,24
12,25
12,26
13,21
13,23
13,25
13,26
14,16
14,17
14,19
14,23
14,26
15,17
15,19
15,20
15,22
15,24
15,25
16,17
16,18
16,19
16,25
16,26
17,18
17,20
17,21
17,27
18,19
18,21
18,23
18,25
18,26
19,21
19,22
19,26
19,27
20,26
21,23
21,24
21,26
22,24
22,25
22,26
23,24
23,25
24,27
