u,v
0,1
0,3
0,5
0,7
0,8
0,9
0,10
0,11
0,12
0,13
0,15
0,16
0,18
0,23
0,24
1,2
1,3
1,4
1,5
1,8
1,10
1,11
1,13
1,14
1,15
1,18
1,20
1,23
1,24
1,25
1,27
2,3
2,4
2,6
2,12
2,13
2,16
2,19
2,24
2,26
3,5
3,6
3,9
3,10
3,11
3,14
3,18
3,19
3,20
3,22
3,23
3,24
3,25
4,6
4,9
4,10
4,11
4,12
4,13
4,18
4,19
4,20
4,22
4,23
4,24
4,25
5,7
5,9
5,10
5,12
5,16
5,18
5,19
5,20
5,22
5,23
5,24
5,26
6,7
6,9
6,12
6,13
6,14
6,16
6,23
6,24
7,10
7,15
7,16
7,17
7,18
7,21
7,22
7,23
7,24
7,26
7,27
8,10
8,17
8,19
8,20
8,23
8,25
8,26
8,27
9,10
9,11
9,12
9,14
9,16
9,17
9,18
9,19
9,22
9,23
9,24
9,26
10,12
10,14
10,15
10,16
10,23
10,26
10,27
11,12
11,13
11,14
11,16
11,17
11,19
11,22
11,23
11,25
12,14
12,15
12,16
12,17
12,18
12,19
12,20
12,22
12,24
12,26
12,27
13,15
14,16
14,17
14,18
14,19
14,22
14,23
14,27
15,16
15,17
15,19
15,20
15,21
15,22
15,23
15,24
15,25
15,27
16,17
16,19
16,20
16,22
16,23
16,24
16,26
16,27
17,18
17,20
17,21
17,23
17,26
18,19
18,21
18,22
18,23
18,24
19,21
19,22
19,23
19,24
20,21
20,24
20,26
20,27
21,22
21,24
21,26
21,27
22,23
22,24
22,26
22,27
23,26
23,27
24,25
24,27
25,27
