u,v
0,2
0,7
0,9
0,10
0,16
0,20
0,21
1,2
1,3
1,4
1,7
1,9
1,11
1,14
1,16
1,20
1,21
1,23
1,24
1,26
1,27
2,9
2,11
2,13
2,15
2,19
2,20
3,4
3,6
3,8
3,10
3,13
3,15
3,22
4,7
4,9
4,11
4,12
4,13
4,14
4,16
4,19
4,21
4,23
4,25
4,26
5,7
5,11
5,12
5,14
5,15
5,16
5,19
5,20
5,21
5,23
5,26
5,27
6,8
6,11
6,13
6,14
6,17
6,18
6,19
6,26
7,8
7,9
7,11
7,14
7,16
7,18
7,20
7,21
7,23
7,24
7,25
7,26
7,27
8,10
8,13
8,15
8,16
8,18
8,19
8,21
8,22
8,23
8,24
9,11
9,14
9,16
9,17
9,21
9,24
9,26
9,27
10,11
10,14
10,16
10,17
10,18
10,25
10,26
10,27
11,12
11,16
11,17
11,20
11,21
11,23
11,24
11,27
12,14
12,16
12,17
12,18
12,19
12,21
12,23
12,24
12,25
12,26
12,27
13,26
14,20
14,22
14,23
14,24
15,17
16,17
16,18
16,19
16,20
16,21
16,23
16,24
16,25
16,26
16,27
17,21
17,23
17,24
17,25
17,26
17,27
18,21
18,22
18,23
18,24
18,25
19,21
19,25
19,26
19,27
20,21
20,26
21,24
21,25
21,26
21,27
22,25
22,26
23,25
24,25
24,26
24,27
25,26
