u,v
0,5
0,7
0,9
0,10
0,12
0,14
0,16
0,18
0,20
0,23
0,24
1,2
1,3
1,4
1,5
1,7
1,9
1,10
1,12
1,14
1,16
1,20
1,21
1,23
1,24
2,4
2,5
2,7
2,9
2,11
2,12
2,13
2,14
2,16
2,17
2,19
2,21
2,22
2,23
2,25
2,26
2,27
3,11
3,13
3,15
3,21
3,22
3,25
4,7
4,8
4,9
4,10
4,12
4,14
4,16
4,18
4,20
4,23
4,24
4,26
4,27
5,7
5,8
5,10
5,11
5,12
5,16
5,17
5,18
5,19
5,20
5,23
5,24
5,26
5,27
6,13
6,15
6,18
6,19
6,22
7,9
7,10
7,14
7,16
7,18
7,20
7,23
7,24
8,9
8,12
8,13
8,14
8,15
8,16
8,19
8,22
8,27
9,10
9,11
9,12
9,16
9,18
9,20
9,23
9,24
9,26
10,11
10,12
10,15
10,17
10,18
10,21
10,23
10,24
10,27
11,16
11,19
11,22
11,25
11,26
11,27
12,14
12,16
12,17
12,18
12,19
12,20
12,24
12,26
12,27
14,16
14,17
14,18
14,19
14,20
14,23
14,26
14,27
15,17
15,18
15,22
15,25
15,26
16,17
16,19
16,20
16,21
16,23
16,24
16,26
16,27
17,25
17,26
17,27
18,19
18,21
18,22
18,23
18,24
18,25
18,27
19,22
19,25
19,26
19,27
20,21
20,24
20,26
21,26
22,26
22,27
23,24
24,26
25,26
25,27
