u,v
0,3
0,4
0,5
0,7
0,9
0,10
0,11
0,12
0,13
0,14
0,15
0,16
0,19
0,20
0,21
0,23
0,24
0,26
1,2
1,3
1,4
1,5
1,7
1,9
1,10
1,11
1,12
1,15
1,16
1,20
1,21
1,23
1,24
1,25
1,26
2,5
2,6
2,10
2,12
2,13
2,14
2,17
2,20
2,21
2,22
2,23
2,24
2,27
3,4
3,8
3,10
3,11
3,13
3,17
3,19
3,20
3,22
3,25
4,5
4,7
4,9
4,10
4,11
4,12
4,15
4,16
4,20
4,21
4,24
4,26
5,7
5,10
5,12
5,15
5,16
5,17
5,21
5,23
5,24
5,25
5,26
5,27
6,8
6,11
6,15
6,16
6,17
6,19
6,22
7,10
7,12
7,15
7,16
7,21
7,23
7,24
7,26
8,11
8,13
8,14
8,16
8,18
8,19
8,22
8,25
9,10
9,11
9,12
9,13
9,15
9,19
9,20
9,21
10,11
10,12
10,14
10,15
10,16
10,17
10,19
10,20
10,21
10,24
10,25
10,26
10,27
11,14
11,15
11,19
11,22
11,26
12,14
12,15
12,16
12,18
12,20
12,21
12,24
12,25
12,26
12,27
13,19
13,26
14,15
14,16
14,17
14,19
14,20
14,21
14,23
14,25
14,26
14,27
15,16
15,17
15,20
15,21
15,22
15,23
15,25
15,27
16,17
16,18
16,20
16,21
16,22
16,23
16,24
16,25
16,26
16,27
17,18
17,20
17,21
17,25
17,26
17,27
18,21
18,22
18,23
18,25
19,22
19,26
20,21
20,23
20,24
20,26
20,27
21,24
21,25
21,26
21,27
22,25
22,26
22,27
23,24
23,26
23,27
24,26
26,27
