u,v
0,4
0,5
0,7
0,9
0,15
0,16
0,24
0,27
1,2
1,3
1,4
1,5
1,7
1,8
1,9
1,10
1,12
1,14
1,16
1,17
1,18
1,19
1,20
1,23
1,24
1,26
1,27
2,4
2,5
2,7
2,9
2,12
2,13
2,14
2,15
2,16
2,17
2,20
2,21
2,22
2,23
2,24
2,25
2,26
2,27
3,11
3,13
3,15
3,22
4,6
4,7
4,8
4,9
4,10
4,12
4,14
4,16
4,17
4,18
4,19
4,20
4,23
4,24
4,25
4,26
5,7
5,8
5,9
5,10
5,12
5,14
5,16
5,17
5,18
5,19
5,20
5,23
5,24
5,26
5,27
6,7
6,8
6,16
6,18
6,21
6,22
6,23
6,24
7,8
7,9
7,10
7,12
7,14
7,16
7,17
7,18
7,19
7,20
7,23
7,24
7,26
7,27
8,9
8,11
8,13
8,14
8,15
8,18
8,20
8,21
8,22
9,10
9,12
9,16
9,17
9,18
9,19
9,20
9,23
9,26
10,11
10,12
10,13
10,14
10,20
10,21
10,22
10,23
10,24
11,19
12,14
12,16
12,17
12,18
12,19
12,20
12,23
12,24
12,26
12,27
13,19
14,16
14,17
14,18
14,19
14,20
14,23
14,26
14,27
15,19
15,25
16,17
16,18
16,19
16,20
16,23
16,24
16,26
16,27
17,18
17,19
17,20
17,21
17,23
17,24
17,25
17,26
17,27
18,20
18,21
18,23
18,24
18,25
18,27
19,20
19,21
19,22
19,23
19,24
19,25
19,26
19,27
20,23
20,26
20,27
21,24
21,26
21,27
22,26
22,27
23,24
23,25
23,26
23,27
24,26
24,27
25,26
25,27
26,27
