u,v
0,2
0,3
0,5
0,9
0,10
0,13
0,15
0,19
0,20
0,27
1,3
1,4
1,5
1,6
1,7
1,8
1,9
1,11
1,12
1,13
1,14
1,15
1,16
1,19
1,20
1,21
1,22
1,23
1,24
1,26
1,27
2,4
2,5
2,9
2,13
2,14
2,15
3,6
3,8
3,11
3,12
3,14
3,16
3,17
3,18
3,19
3,21
3,22
3,23
3,24
3,25
3,27
4,5
4,9
4,11
4,12
4,14
4,16
4,19
4,20
4,21
4,24
4,26
5,7
5,9
5,10
5,12
5,13
5,14
5,15
5,19
5,20
5,26
6,7
6,8
6,12
6,16
6,20
6,22
6,23
6,24
7,8
7,11
7,14
7,15
7,16
7,17
7,18
7,19
7,20
7,21
7,22
7,23
7,24
7,26
7,27
8,10
8,11
8,12
8,13
8,15
8,16
8,17
8,18
8,19
8,20
8,21
8,23
8,24
8,26
8,27
9,10
9,11
9,19
9,20
9,21
10,11
10,15
10,16
10,17
10,18
10,19
10,21
10,22
10,26
10,27
11,12
11,13
11,16
11,17
11,20
11,21
11,22
11,23
11,24
11,25
11,26
11,27
12,14
12,15
12,16
12,17
12,18
12,19
12,20
12,21
12,22
12,24
12,26
12,27
13,14
13,15
13,26
14,20
14,23
15,16
15,17
15,18
15,19
15,20
15,21
15,22
15,23
15,24
15,25
15,26
15,27
16,17
16,20
16,22
16,23
16,24
16,26
16,27
17,18
17,19
17,20
17,21
17,23
17,25
17,26
18,20
18,21
18,22
18,23
18,24
18,26
18,27
19,21
19,23
19,24
19,27
20,21
20,22
20,23
20,24
20,26
20,27
21,22
21,23
21,24
21,26
21,27
22,24
22,25
22,26
22,27
23,26
23,27
24,26
24,27
25,26
25,27
