u,v
0,2
0,5
0,7
0,9
0,10
0,11
0,12
0,15
0,16
0,17
0,20
0,21
0,26
0,27
1,3
1,4
1,7
1,9
1,11
1,12
1,13
1,16
1,19
1,20
1,21
1,24
1,26
1,27
2,4
2,5
2,6
2,7
2,8
2,9
2,13
2,14
2,15
2,20
2,22
2,23
2,25
2,27
3,11
3,13
3,14
3,19
3,21
3,22
3,23
3,24
3,25
3,27
4,6
4,7
4,8
4,9
4,10
4,12
4,15
4,17
4,20
4,26
5,6
5,7
5,8
5,9
5,10
5,12
5,15
5,17
5,20
6,7
6,8
6,14
6,15
6,16
6,17
6,18
6,19
6,22
7,8
7,9
7,10
7,15
7,17
7,20
7,24
7,26
8,11
8,13
8,15
8,18
8,19
8,20
8,22
8,25
8,26
8,27
9,11
9,13
9,15
9,17
9,18
9,20
9,21
9,26
9,27
10,11
10,13
10,16
10,19
10,20
10,22
10,26
10,27
11,12
11,13
11,15
11,17
11,20
11,21
11,23
11,24
11,26
11,27
12,13
12,14
12,16
12,19
12,20
12,21
12,23
12,24
12,26
13,17
13,19
13,21
13,23
13,24
13,26
13,27
14,15
14,17
14,23
15,22
15,23
15,25
16,17
16,23
16,24
16,26
16,27
17,18
17,19
17,25
17,26
17,27
18,25
19,21
19,23
19,24
20,26
20,27
21,23
21,24
21,26
21,27
22,23
22,25
22,26
23,25
23,26
23,27
24,26
24,27
