u,v
0,1
0,2
0,4
0,5
0,7
0,8
0,9
0,11
0,12
0,13
0,14
0,15
0,16
0,17
0,18
0,20
0,22
0,23
0,24
0,26
0,27
1,3
1,7
1,12
2,6
2,9
2,10
2,12
2,13
2,14
2,15
2,16
2,17
2,19
2,21
2,23
3,6
3,10
3,19
3,21
3,24
3,27
4,7
4,8
4,9
4,11
4,12
4,13
4,14
4,15
4,16
4,17
4,18
4,22
4,23
4,26
5,7
5,12
5,13
5,14
5,16
5,17
5,19
5,20
5,23
5,26
6,8
6,9
6,11
6,13
6,15
6,16
6,19
6,21
6,22
6,23
7,8
7,9
7,15
7,17
7,26
8,9
8,11
8,12
8,13
8,15
8,16
8,17
8,19
8,20
8,21
8,24
8,26
9,11
9,12
9,15
9,16
9,17
9,18
9,23
9,24
9,26
9,27
10,16
10,19
10,21
10,23
10,27
11,12
11,15
11,16
11,17
11,20
11,21
11,23
11,25
11,27
12,13
12,14
12,16
12,17
12,18
12,19
12,20
12,21
12,22
12,24
12,26
12,27
13,19
13,20
13,21
13,24
13,25
13,26
13,27
14,21
14,23
15,16
15,17
15,19
15,20
15,21
15,25
15,27
16,17
16,19
16,20
16,21
16,22
16,23
16,24
16,26
16,27
17,18
17,21
17,25
17,26
18,19
18,20
18,21
18,24
18,27
19,24
20,22
20,26
21,22
21,23
21,24
21,26
21,27
22,25
22,26
22,27
23,27
24,25
24,26
25,26
