u,v
0,2
0,4
0,5
0,7
0,9
0,10
0,11
0,12
0,13
0,15
0,20
0,26
1,2
1,3
1,4
1,5
1,7
1,9
1,10
1,11
1,12
1,20
1,24
1,26
2,4
2,5
2,7
2,9
2,10
2,11
2,13
2,14
2,15
2,17
2,19
2,20
2,22
3,6
3,14
3,16
3,21
3,23
3,27
4,5
4,7
4,9
4,10
4,11
4,12
4,13
4,15
4,20
4,26
5,7
5,9
5,10
5,11
5,12
5,13
5,15
5,20
5,26
6,8
6,16
6,17
6,19
6,21
6,22
6,24
7,8
7,9
7,11
7,12
7,13
7,15
7,20
7,26
8,15
8,16
8,17
8,18
8,19
8,27
9,10
9,11
9,14
9,20
9,24
9,26
10,16
10,17
10,18
10,19
10,20
10,22
10,27
11,13
11,14
11,15
11,20
11,23
11,27
12,14
12,16
12,17
12,18
12,19
12,20
12,21
12,22
12,23
12,24
12,27
13,14
13,19
14,15
14,23
15,17
16,17
16,19
16,22
16,23
16,24
16,25
17,19
17,25
17,27
18,19
18,21
18,22
18,23
18,24
18,25
19,21
19,22
19,25
19,26
20,24
20,26
21,24
21,27
22,25
24,27
25,26
