u,v
0,2
0,3
0,8
0,10
0,13
0,14
0,19
0,20
0,25
1,2
1,3
1,4
1,5
1,7
1,8
1,9
1,11
1,12
1,13
1,15
1,16
1,18
1,19
1,20
1,21
1,22
1,23
1,24
1,25
1,26
2,3
2,4
2,5
2,6
2,7
2,8
2,9
2,11
2,13
2,15
2,19
2,22
2,25
2,26
3,4
3,5
3,7
3,8
3,9
3,11
3,12
3,13
3,19
3,20
3,25
4,7
4,8
4,9
4,11
4,12
4,13
4,15
4,16
4,18
4,20
4,21
4,23
4,24
4,26
4,27
5,7
5,8
5,9
5,12
5,20
5,22
5,26
5,27
6,8
6,11
6,13
6,18
6,21
6,22
6,24
7,8
7,11
7,13
7,16
7,18
7,20
7,21
7,22
7,23
7,24
7,26
8,9
8,10
8,11
8,12
8,13
8,15
8,16
8,17
8,19
8,20
8,21
8,22
8,23
9,11
9,12
9,13
9,20
9,26
10,11
10,12
10,13
10,15
10,16
10,18
10,19
10,21
10,23
10,24
10,26
10,27
11,12
11,13
11,14
11,15
11,16
11,20
11,21
11,23
11,25
11,27
12,15
12,16
12,18
12,19
12,20
12,21
12,23
12,24
12,26
13,19
13,20
13,21
13,23
13,25
13,26
13,27
14,15
14,16
14,21
14,23
14,24
14,27
15,16
15,17
15,19
15,22
15,23
15,25
15,26
16,17
16,19
16,20
16,21
16,22
16,23
16,24
16,26
17,22
17,26
17,27
18,20
18,21
18,23
18,25
19,21
19,23
19,25
19,26
20,21
20,22
20,23
20,24
20,26
21,23
21,24
21,26
22,23
22,25
22,27
23,24
23,26
25,26
