u,v
0,4
0,7
0,8
0,11
0,13
0,15
0,16
0,17
0,20
0,26
0,27
1,2
1,3
1,4
1,5
1,7
1,8
1,9
1,11
1,12
1,14
1,16
1,20
1,21
1,26
1,27
2,4
2,5
2,7
2,9
2,11
2,12
2,13
2,15
2,20
2,21
2,22
2,25
2,26
2,27
3,6
3,10
3,13
3,21
3,22
3,24
3,25
4,7
4,8
4,9
4,12
4,16
4,17
4,19
4,20
4,23
4,26
5,7
5,8
5,9
5,12
5,16
5,17
5,19
5,20
5,23
5,26
6,11
6,12
6,13
6,16
6,22
6,23
7,8
7,9
7,12
7,16
7,17
7,20
7,23
7,26
8,9
8,13
8,20
8,21
8,22
9,12
9,15
9,16
9,17
9,20
9,26
9,27
10,13
10,23
11,19
11,20
11,21
11,22
11,23
11,25
11,27
12,16
12,19
12,20
12,23
13,14
13,18
13,23
14,15
14,22
14,25
15,17
15,19
15,20
15,22
15,25
16,17
16,18
16,20
16,22
16,25
17,20
17,21
17,25
17,26
17,27
18,22
18,23
18,25
19,26
20,26
20,27
21,23
21,24
21,26
21,27
22,23
22,26
22,27
23,24
23,25
25,26
25,27
