u,v
0,2
0,4
0,5
0,6
0,9
0,10
0,11
0,12
0,17
0,20
1,2
1,3
1,4
1,5
1,6
1,9
1,10
1,12
1,20
2,4
2,5
2,7
2,9
2,11
2,13
2,14
2,15
2,19
2,22
2,27
3,7
3,8
3,13
3,14
3,16
3,18
3,19
3,21
3,22
3,23
3,24
3,25
3,27
4,5
4,6
4,9
4,10
4,11
4,12
4,15
4,17
4,20
4,26
5,6
5,9
5,10
5,11
5,12
5,15
5,17
5,20
5,26
6,8
6,14
6,16
6,19
6,22
6,25
7,9
7,10
7,17
7,20
7,26
8,10
8,13
8,16
8,19
8,20
8,23
8,24
8,27
9,10
9,11
9,12
9,15
9,17
9,20
9,26
10,13
10,16
10,18
10,19
10,21
10,22
10,25
10,27
11,14
11,15
11,17
11,20
11,27
12,13
12,14
12,16
12,18
12,19
12,21
12,22
12,23
12,24
12,25
13,17
13,21
13,23
13,24
13,25
13,26
14,15
14,17
14,23
14,26
15,17
15,19
15,22
15,27
16,17
16,19
16,22
16,23
16,24
16,25
16,26
16,27
17,18
17,27
18,24
18,25
19,21
19,26
20,21
20,24
20,26
20,27
21,23
21,24
21,25
22,23
22,24
22,25
22,26
23,27
24,27
