u,v
0,2
0,3
0,5
0,6
0,7
0,8
0,9
0,10
0,11
0,12
0,14
0,16
0,17
0,18
0,20
0,21
0,23
0,24
0,26
1,2
1,3
1,4
1,5
1,7
1,9
1,10
1,11
1,12
1,14
1,16
1,18
1,20
1,21
1,23
1,24
1,25
1,26
2,3
2,4
2,5
2,6
2,7
2,8
2,11
2,13
2,14
2,15
2,16
2,19
2,20
2,22
2,25
2,26
3,7
3,8
3,11
3,13
3,19
3,25
4,5
4,6
4,7
4,8
4,9
4,10
4,11
4,12
4,14
4,15
4,16
4,17
4,18
4,19
4,20
4,23
4,24
4,25
4,26
5,6
5,7
5,8
5,9
5,10
5,11
5,12
5,14
5,15
5,16
5,17
5,18
5,19
5,20
5,22
5,23
5,24
5,25
5,26
6,7
6,8
6,11
6,12
6,14
6,15
6,16
6,17
6,18
6,19
6,21
6,22
6,23
6,24
6,25
6,26
7,9
7,10
7,11
7,14
7,16
7,17
7,18
7,19
7,21
7,23
7,24
7,25
7,26
8,9
8,11
8,13
8,15
8,16
8,17
8,18
8,19
8,20
8,22
8,25
8,27
9,10
9,11
9,12
9,14
9,16
9,20
9,23
9,24
9,25
9,26
10,12
10,16
10,19
10,21
10,23
10,24
10,26
11,12
11,14
11,15
11,16
11,18
11,19
11,20
11,22
11,23
11,24
11,25
11,26
11,27
12,14
12,16
12,18
12,20
12,21
12,24
12,26
13,17
13,25
13,26
14,15
14,16
14,17
14,18
14,19
14,20
14,23
14,25
14,26
15,16
15,17
15,18
15,19
15,20
15,22
15,25
15,26
16,17
16,23
16,24
16,25
16,26
17,18
17,20
17,22
17,25
17,27
18,19
18,25
18,26
19,20
19,22
19,23
19,24
19,25
19,26
19,27
20,22
20,25
20,27
21,23
21,24
21,26
22,25
23,25
23,26
24,26
25,27
