u,v
0,3
0,4
0,5
0,7
0,9
0,10
0,11
0,13
0,20
0,21
1,3
1,5
1,7
1,9
1,11
1,12
1,13
1,16
1,17
1,18
1,19
1,20
1,23
1,24
1,26
2,3
2,9
2,10
2,12
2,13
2,14
2,15
2,16
2,17
2,20
2,21
2,22
2,23
2,26
2,27
3,20
3,23
4,7
4,9
4,11
4,12
4,13
4,20
4,22
5,7
5,11
5,13
5,16
5,18
5,20
5,21
5,26
5,27
6,7
6,8
6,11
6,13
6,15
6,16
6,17
6,18
6,19
6,22
6,24
7,8
7,9
7,15
7,17
7,18
7,19
7,20
7,24
7,25
7,26
8,11
8,12
8,13
8,15
8,18
8,19
8,22
8,23
9,16
9,23
9,27
10,11
10,12
10,16
10,20
10,26
10,27
11,14
11,19
11,20
12,15
12,16
12,17
12,19
12,23
12,24
13,19
13,20
13,26
14,16
14,21
14,23
14,24
15,16
15,17
15,19
15,22
15,23
15,25
15,26
15,27
16,17
16,18
16,19
16,20
16,23
16,24
16,26
17,18
17,23
17,25
17,26
17,27
18,21
18,22
18,23
18,25
18,26
19,22
19,23
19,25
19,26
20,21
20,26
21,26
21,27
22,25
22,26
23,24
23,26
23,27
24,26
