u,v
0,1
0,2
0,5
0,6
0,7
0,8
0,9
0,10
0,11
0,12
0,14
0,15
0,16
0,19
0,20
0,21
0,22
0,24
0,26
0,27
1,2
1,3
1,4
1,5
1,6
1,7
1,8
1,9
1,10
1,11
1,12
1,14
1,15
1,16
1,19
1,20
1,21
1,22
1,24
1,26
1,27
2,3
2,5
2,6
2,7
2,9
2,10
2,12
2,13
2,14
2,15
2,16
2,17
2,18
2,19
2,20
2,21
2,22
2,23
2,24
2,25
2,26
2,27
3,10
3,11
3,17
3,18
3,19
3,20
3,21
3,23
3,24
3,25
3,27
4,6
4,7
4,8
4,9
4,11
4,12
4,13
4,14
4,15
4,16
4,20
4,22
4,24
4,25
4,26
5,6
5,7
5,8
5,10
5,11
5,12
5,14
5,15
5,16
5,18
5,19
5,20
5,21
5,22
5,23
5,24
5,25
5,26
5,27
6,7
6,8
6,9
6,10
6,11
6,12
6,14
6,15
6,17
6,18
6,20
6,21
6,22
6,23
6,24
6,26
7,8
7,9
7,10
7,11
7,14
7,15
7,16
7,17
7,18
7,19
7,21
7,22
7,23
7,24
7,25
7,26
7,27
8,9
8,10
8,11
8,12
8,13
8,14
8,15
8,16
8,18
8,20
8,21
8,22
8,23
8,24
8,25
8,26
9,10
9,11
9,12
9,14
9,15
9,16
9,17
9,18
9,19
9,21
9,22
9,23
9,24
9,25
9,26
9,27
10,11
10,12
10,15
10,16
10,17
10,18
10,19
10,20
10,21
10,23
10,24
10,25
10,26
10,27
11,12
11,14
11,15
11,16
11,19
11,20
11,21
11,22
11,23
11,24
11,25
11,26
11,27
12,14
12,16
12,17
12,18
12,19
12,20
12,21
12,24
12,25
12,26
13,19
13,21
13,27
14,17
14,18
14,19
14,20
14,21
14,23
14,27
15,17
15,19
15,20
15,21
15,23
15,24
15,25
15,27
16,17
16,20
16,21
16,22
16,23
16,24
16,25
16,26
17,18
17,19
17,23
17,25
17,27
18,19
18,21
18,23
18,24
18,27
19,20
19,21
19,22
19,23
19,24
19,25
19,27
20,21
20,22
20,24
20,26
20,27
21,22
21,23
21,24
21,25
21,26
21,27
22,23
22,24
22,25
22,26
22,27
23,24
23,25
23,26
23,27
24,26
24,27
25,26
25,27
