u,v
0,2
0,4
0,5
0,6
0,7
0,9
0,11
0,12
0,14
0,15
0,20
0,24
0,26
1,2
1,3
1,4
1,5
1,7
1,9
1,12
1,16
1,19
1,20
1,24
1,26
2,4
2,5
2,9
2,11
2,13
2,14
2,18
2,19
2,22
2,23
2,27
3,8
3,13
3,18
3,21
3,22
3,23
3,25
3,27
4,5
4,6
4,9
4,10
4,11
4,12
4,14
4,15
4,20
4,24
4,26
5,6
5,9
5,10
5,11
5,12
5,14
5,15
5,20
5,24
5,26
6,7
6,8
6,9
6,12
6,13
6,16
6,19
6,22
6,23
6,24
6,25
6,27
7,8
7,9
7,15
7,17
7,20
7,22
7,25
7,26
8,10
8,13
8,15
8,16
8,19
8,27
9,10
9,11
9,14
9,15
9,20
9,24
9,26
10,13
10,16
10,19
10,20
10,22
10,23
10,25
10,27
11,15
11,16
11,18
11,23
11,27
12,13
12,14
12,16
12,18
12,19
12,21
12,22
12,24
12,25
12,27
13,17
13,21
13,25
13,26
14,15
14,23
14,24
14,26
15,16
15,19
15,22
15,27
16,17
16,20
16,22
16,23
16,24
17,19
17,21
17,25
17,27
18,21
18,23
18,26
19,21
19,24
19,26
20,26
20,27
21,22
21,24
21,27
22,25
22,26
23,26
24,27
25,27
