u,v
0,2
0,3
0,5
0,7
0,9
0,10
0,11
0,12
0,13
0,15
0,20
0,26
1,3
1,4
1,5
1,7
1,9
1,10
1,11
1,12
1,17
1,20
1,24
2,3
2,4
2,5
2,6
2,7
2,9
2,11
2,13
2,14
2,15
2,16
2,19
2,27
3,11
3,12
4,5
4,7
4,9
4,10
4,12
4,13
4,15
4,18
4,20
4,26
5,7
5,9
5,10
5,11
5,12
5,13
5,15
5,18
5,20
5,26
6,8
6,11
6,18
6,19
6,22
6,23
6,24
6,27
7,9
7,10
7,11
7,15
7,17
7,18
7,20
7,26
8,10
8,11
8,17
8,21
8,26
8,27
9,10
9,11
9,12
9,13
9,15
9,17
9,18
9,20
9,26
10,16
10,19
10,21
10,22
10,23
10,25
10,27
11,12
11,13
11,15
11,16
11,17
11,20
11,21
11,22
11,25
11,27
12,14
12,16
12,19
12,20
12,21
12,22
12,23
12,24
12,25
12,27
13,14
13,15
13,16
13,19
13,23
14,15
14,18
14,23
14,24
15,16
15,19
15,20
15,22
15,27
16,17
16,24
16,26
16,27
17,20
17,21
17,25
18,19
18,20
18,23
19,21
19,23
19,24
19,25
19,26
20,22
20,26
21,22
21,24
21,25
21,26
21,27
22,25
22,26
22,27
23,24
23,27
24,25
24,27
25,27
