u,v
0,3
0,5
0,6
0,10
0,11
0,14
0,15
0,20
0,22
0,24
1,3
1,4
1,5
1,6
1,9
1,10
1,11
1,12
1,14
1,15
1,16
1,20
1,21
1,23
1,24
1,26
2,5
2,6
2,7
2,10
2,12
2,13
2,15
2,17
2,20
2,22
2,25
2,26
2,27
3,5
3,6
3,10
3,11
3,14
3,15
3,19
3,20
3,22
3,24
4,6
4,9
4,10
4,11
4,14
4,15
4,16
4,19
4,20
4,21
4,22
4,23
4,24
4,26
5,7
5,8
5,12
5,13
5,16
5,17
5,19
5,21
5,23
5,24
5,25
5,26
5,27
6,8
6,9
6,10
6,12
6,13
6,14
6,16
6,17
6,19
6,23
6,24
6,27
7,8
7,12
7,13
7,14
7,16
7,17
7,18
7,19
7,21
7,23
7,24
7,25
7,26
7,27
8,10
8,11
8,12
8,13
8,15
8,16
8,20
8,21
8,22
8,23
8,25
9,10
9,11
9,14
9,15
9,20
9,22
9,24
10,11
10,16
10,17
10,18
10,19
10,23
10,24
10,26
10,27
11,12
11,13
11,14
11,16
11,18
11,19
11,23
11,24
11,27
12,13
12,14
12,16
12,17
12,18
12,19
12,20
12,21
12,23
12,24
12,26
12,27
13,15
13,17
13,20
13,22
13,23
13,25
13,26
14,15
14,22
14,23
15,18
15,26
16,17
16,20
16,22
16,23
16,24
16,26
16,27
17,19
17,20
17,21
17,23
17,25
17,26
17,27
18,19
18,22
18,23
18,24
18,26
19,20
19,21
19,22
19,23
19,25
19,27
20,21
20,23
20,24
20,25
20,26
20,27
21,23
21,24
21,26
21,27
22,24
22,26
22,27
23,24
23,26
23,27
24,26
24,27
25,27
26,27
